#,Material,Family,beta,k_soft,Ea(eV),sigma_0(S/m),r_eff(um),T_onset(K),T_pred(K),Error%,E(V/cm),J_crit(A/mm²),J_calc(mA/mm²),DOI
29,Porcelain Stoneware,glass_ceramic,1.49,0.21,0.84,1000.0,4.1,1173,1173.0,-0.0,500.0,,12.3,10.1111/jace.15162
30,Porcelain Stoneware,glass_ceramic,1.49,0.21,0.84,1000.0,4.4,1223,1223.0,-0.0,450.0,,15.54,10.1111/jace.15162
31,Porcelain Stoneware,glass_ceramic,1.49,0.21,0.84,1000.0,4.9,1273,1273.0,-0.0,400.0,,18.9,10.1111/jace.15162
32,Porcelain Stoneware,glass_ceramic,1.49,0.21,0.84,1000.0,5.5,1323,1323.0,0.0,350.0,,22.08,10.1111/jace.15162
34,Re,metal,0.5,0.73,0.28,500.0,101.8,1173,1173.0,-0.0,100.0,10.0,313.26,10.1007/s11661-024-07461-1
35,SDC (Sm₂O₃-doped CeO₂),oxide,1.4,0.25,0.5,20000.0,26.9,1123,1123.0,0.0,120.0,,1368.47,10.1016/j.scriptamat.2018.09.014
36,SiCw/3YSZ (17.5 vol%),composite,1.38,0.26,0.5,20000.0,29.9,1273,1273.0,0.0,80.0,,1677.08,10.1016/j.jeurceramsoc.2016.02.014
37,SnO₂-AC (1 kHz),rutile,1.38,0.26,0.45,5000.0,41.5,1373,1373.0,0.0,80.0,,891.69,10.1016/j.jeurceramsoc.2013.09.017
38,SrFe₁₂O₁₉,ferrite,1.37,0.27,0.37,25000.0,79.9,1123,1123.0,-0.0,40.0,,2185.03,10.1016/j.jallcom.2022.166203
42,SrTiO₃ (undoped),perovskite,1.5,0.2,0.6,1000.0,4.7,1073,1073.0,-0.0,600.0,,91.18,10.1016/j.scriptamat.2016.03.001
43,SrTiO₃ (undoped),perovskite,1.5,0.2,0.6,200.0,5.9,1173,1173.0,-0.0,500.0,,26.42,10.1111/j.1551-2916.2012.05240.x
44,SrTi₁₋ₓFeₓO₃₋δ,perovskite,1.5,0.2,0.63,3000.0,3.9,1123,1123.0,-0.0,600.0,,267.83,10.1016/j.jeurceramsoc.2016.07.037
48,UO₂,actinide-oxide,1.4,0.25,0.2,100000.0,34.3,402,402.0,0.0,125.0,,3885.62,10.1016/j.jnucmat.2017.06.022
49,UO₂,actinide-oxide,1.4,0.25,0.2,100000.0,65.3,589,589.0,0.0,57.0,,11079.21,10.1016/j.jnucmat.2017.06.022
51,WC,carbide,0.31,0.83,0.45,800.0,227.5,1123,1123.0,-0.0,120.0,,91.77,10.3390/ma14247655
52,ZnO,oxide,1.4,0.25,0.3,1000.0,12.7,832,832.0,-0.0,300.0,,456.9,10.1016/j.actamat.2015.04.018
53,ZrN,nitride,0.34,0.82,0.25,20000.0,321.4,1023,1023.0,0.0,32.0,,3754.18,10.1111/jace.19719
54,c-ZrO₂ (Single Crystal),fluorite,1.38,0.26,0.5,100000.0,20.1,588,588.0,0.0,230.0,,119.13,10.1016/j.scriptamat.2016.12.006
55,α-Al₂O₃,corundum,1.32,0.3,0.82,800.0,3.3,1173,1173.0,-0.0,1500.0,,35.97,10.1016/j.jeurceramsoc.2016.03.021
56,α-SiC,carbide,0.31,0.83,0.9,10000.0,158.9,2358,2358.0,0.0,20.0,,238.44,10.1016/j.actamat.2022.118362
57,MgAl2O4 (High-T),spinel,1.34,0.29,0.85,200.0,10.5,1678,1678.0,0.0,300.0,,16.76,10.1016/j.jeurceramsoc.2019.03.005
58,MgAl2O4 (High-T),spinel,1.34,0.29,1.1,150.0,4.3,1683,1683.0,-0.0,750.0,,5.7,10.1016/j.jeurceramsoc.2019.03.005
59,MgAl2O4 (High-T),spinel,1.34,0.29,1.0,50.0,4.1,1773,1773.0,-0.0,750.0,,5.38,10.1016/j.jeurceramsoc.2019.03.005
60,MgAl2O4 (High-T),spinel,1.34,0.29,1.2,50.0,4.1,1923,1923.0,-0.0,750.0,,2.68,10.1016/j.jeurceramsoc.2019.03.005
61,MgAl2O4 (High-T),spinel,1.34,0.29,1.05,150.0,9.9,1940,1940.0,-0.0,300.0,,8.4,10.1016/j.jeurceramsoc.2019.03.005
62,B4C,carbide,0.31,0.83,1.35,1000.0,114.3,1473,1473.0,-0.0,40.0,,0.1,10.1016/j.ceramint.2024.05.250
63,B4C,carbide,0.31,0.83,0.9,100.0,21.2,1673,1673.0,-0.0,200.0,,3.88,10.1016/j.ceramint.2024.05.250
64,BiFeO3,perovskite,1.5,0.2,0.65,100.0,21.6,1133,1133.0,-0.0,150.0,,1.92,10.1111/jace.14990
65,BiFeO3,perovskite,1.5,0.2,0.75,2000.0,31.6,1170,1170.0,0.0,100.0,,11.73,10.1111/jace.14990
66,Co2MnO4,spinel,1.34,0.29,0.1,100.0,82.0,873,873.0,-0.0,50.0,,132.27,10.1016/j.jpowsour.2010.10.036
67,Co2MnO4,spinel,1.34,0.29,0.4,10000.0,40.3,773,773.0,0.0,100.0,,246.12,10.1016/j.jpowsour.2010.10.036
68,LLZO,garnet,1.41,0.25,0.45,1000.0,31.0,1073,1073.0,-0.0,100.0,,72.8,10.1007/s11581-024-06046-7
69,LLZO,garnet,1.41,0.25,0.7,10000.0,37.8,1173,1173.0,-0.0,80.0,,78.43,10.1007/s11581-024-06046-7
